Rung,Model_Type,Feature_Count,Mean_Macro_F1,Std_Macro_F1,Mean_Precision,Mean_Recall,Mean_ECE
B0_FIRMS_Only,random_forest,2,0.3584,0.1052,0.4158,0.4381,0.1499
B1_FIRMS_Spatial,random_forest,4,0.6237,0.0329,0.6876,0.672,0.1073
B2_FIRMS_Landcover,random_forest,5,0.7901,0.0668,0.8391,0.8159,0.1022
B3_FIRMS_Temporal,random_forest,5,0.76,0.0389,0.8088,0.7926,0.0963
B4_FIRMS_Morphology,random_forest,6,0.8979,0.0597,0.9231,0.9169,0.1521
B5_FIRMS_Facility_Baseline,random_forest,5,0.6485,0.1245,0.6545,0.7024,0.1174
B6_Full_Multimodal_LogReg,logistic_regression,16,0.8877,0.1509,0.9145,0.8931,0.0774
B7_Full_Multimodal_RF,random_forest,16,0.9226,0.0781,0.9482,0.9346,0.1378
B8_Full_Multimodal_XGBoost,xgboost,16,0.9119,0.1465,0.935,0.9241,0.0438
